user_id,plan,country,device,tenure_months,watch_hours_t_minus_3,watch_hours_t_minus_2,watch_hours_t_minus_1,watch_hours_next_month
3000103,premium,SE,tv,30,8.5,9.12,8.8,4.49
3000104,standard,SE,tv,3,9.38,10.51,11.68,10.15
3000105,standard,US,tv,11,11.22,12.02,11.61,11.6
3000106,free,US,mobile,33,11.85,11.09,10.29,9.9
3000107,free,JP,web,34,16.76,16.02,15.35,13.76
3000108,free,IT,tv,58,4.92,4.43,4.92,8.55
3000109,premium,CA,web,26,9.48,9.08,8.6,3.38
3000110,free,DE,tv,26,2.56,2.81,2.91,10.46
3000111,free,AU,mobile,26,8.83,8.42,8.44,9.38
3000112,free,FR,mobile,17,10.45,12.78,13.63,15.13
3000113,standard,GB,tv,12,3.81,4.13,4.38,5.37
3000114,free,DE,tv,56,18.63,20.27,19.85,17.02
3000115,premium,FR,tv,38,2.79,2.6,2.58,3.15
3000116,standard,US,tv,51,11.33,10.66,11.15,8.72
3000117,standard,FR,web,49,12.78,12.8,12.09,14.19
3000118,free,FR,tv,52,8.44,8.71,8.54,7.36
3000119,standard,AU,tv,29,7.8,7.88,9.89,10.13
3000120,standard,AU,mobile,17,3.95,3.65,3.41,2.84
3000121,standard,JP,tv,9,14.57,15.01,14.1,10.91
3000122,free,CA,tv,49,17.89,19.02,19.92,20.89
3000123,free,NL,tv,16,11.98,11.14,10.09,0.0
3000124,free,AU,web,50,9.82,10.13,9.98,9.06
3000125,free,US,web,19,5.13,4.99,4.86,5.03
3000126,free,US,web,9,21.72,20.47,19.61,19.79
3000127,free,SE,tv,53,4.77,5.02,4.67,9.44
3000128,free,DE,tv,21,31.56,27.85,26.95,32.74
3000129,standard,IT,mobile,37,87.34,75.73,71.16,67.56
3000130,free,GB,mobile,25,7.66,7.49,7.48,5.07
3000131,premium,US,tv,55,7.54,7.97,7.75,7.12
3000132,standard,US,mobile,12,10.88,10.19,9.87,8.43
3000133,free,BR,tv,19,20.89,20.68,21.28,23.52
3000134,standard,GB,tv,46,4.79,5.17,5.21,0.0
3000135,free,US,tv,52,3.22,2.96,2.87,0.45
3000136,premium,ES,web,35,35.45,30.29,26.36,0.0
3000137,free,DE,web,47,11.34,12.19,11.08,10.59
3000138,standard,DE,tv,37,8.49,7.62,7.73,5.25
3000139,free,ES,tv,56,14.99,14.35,16.16,16.65
3000140,free,DE,tv,57,4.97,5.91,5.87,0.0
3000141,free,AU,tv,15,10.68,9.89,9.33,8.04
3000142,premium,DE,tv,21,14.65,13.5,13.54,16.13
3000143,standard,AU,tv,56,15.92,14.55,15.78,14.76
3000144,free,NL,web,17,14.79,13.12,12.59,15.75
3000145,free,JP,mobile,39,2.23,1.99,2.01,0.7
3000146,free,BR,web,59,8.81,10.24,10.83,12.57
3000147,standard,GB,mobile,44,10.0,9.58,9.55,6.27
3000148,free,GB,mobile,39,11.63,12.29,13.08,11.7
3000149,free,GB,mobile,11,7.38,9.0,8.12,4.53
3000150,premium,US,mobile,13,40.83,35.77,36.14,27.4
3000151,premium,US,tv,13,9.62,9.79,9.27,6.59
3000152,free,FR,tv,5,12.79,12.57,14.45,11.76
3000153,standard,BR,mobile,59,9.68,9.31,9.17,6.67
3000154,free,FR,mobile,50,19.35,17.81,17.42,20.18
3000155,standard,GB,tv,47,5.74,4.98,4.64,10.98
3000156,free,FR,mobile,46,36.87,34.77,33.66,31.79
3000157,standard,FR,web,53,15.17,14.36,14.22,14.42
3000158,standard,GB,tv,42,9.28,9.52,8.76,6.79
3000159,standard,SE,tv,16,9.7,8.99,8.76,8.3
3000160,free,US,web,14,8.09,7.69,7.38,7.34
3000161,premium,JP,tv,30,6.24,6.76,7.94,7.03
3000162,free,FR,tv,12,8.53,8.73,10.14,0.0
3000163,free,DE,mobile,32,6.13,6.62,7.45,0.0
3000164,standard,FR,web,44,26.7,25.05,22.41,0.0
3000165,free,US,tv,16,29.8,35.15,41.77,38.76
3000166,premium,FR,tv,13,12.49,13.35,12.52,14.89
3000167,standard,FR,tv,9,2.25,2.39,2.58,0.82
3000168,free,IT,mobile,33,8.78,9.31,9.07,7.01
3000169,premium,ES,mobile,11,10.85,11.23,10.43,9.45
3000170,free,US,web,55,11.21,17.27,16.55,17.3
3000171,standard,JP,mobile,19,5.76,6.48,6.04,4.14
3000172,free,IT,tv,47,7.59,8.49,8.05,6.28
3000173,premium,US,mobile,25,8.18,8.12,7.63,8.04
3000174,free,DE,mobile,51,5.51,5.12,4.91,2.2
3000175,free,US,mobile,2,3.21,2.89,2.93,1.9
3000176,free,NL,mobile,14,16.33,15.55,15.26,9.95
3000177,premium,DE,tv,29,3.91,3.6,3.43,6.44
3000178,premium,FR,mobile,32,9.65,9.49,9.16,11.89
3000179,standard,US,mobile,32,20.09,19.25,19.58,21.15
3000180,premium,US,tv,41,5.04,5.23,5.17,7.38
3000181,premium,DE,mobile,29,27.29,28.25,27.98,25.78
3000182,standard,GB,tv,46,6.21,5.85,6.61,5.99
3000183,free,AU,tv,35,3.59,3.94,4.34,0.0
3000184,standard,US,tv,54,9.12,8.22,7.99,10.18
3000185,standard,US,web,6,16.24,16.69,16.51,19.98
3000186,free,FR,tv,41,19.69,19.84,19.05,14.01
3000187,free,US,mobile,53,14.19,15.01,14.65,15.52
3000188,standard,ES,tv,4,42.39,48.11,44.27,48.82
3000189,free,AU,tv,14,13.22,12.11,12.95,11.64
3000190,premium,BR,tv,15,6.22,5.84,6.18,8.77
3000191,free,FR,tv,26,13.55,13.07,12.62,13.7
3000192,free,JP,mobile,31,3.72,3.73,3.7,3.07
3000193,premium,NL,mobile,51,25.84,25.96,23.82,25.8
3000194,free,US,mobile,23,4.84,4.4,4.62,7.34
3000195,free,AU,mobile,43,6.11,6.27,6.36,5.68
3000196,standard,IT,tv,50,13.43,12.64,11.91,11.68
3000197,premium,BR,mobile,43,6.23,5.8,6.32,5.39
3000198,free,DE,tv,55,25.58,23.68,21.92,24.54
3000199,free,US,mobile,48,13.46,12.61,12.06,0.0
3000200,standard,BR,mobile,22,11.24,13.53,13.51,11.14
3000201,premium,DE,mobile,58,15.23,14.87,15.11,13.68
3000202,standard,AU,tv,56,18.73,17.58,15.67,20.92
3000203,free,FR,mobile,3,18.19,16.2,14.94,16.3
3000204,free,US,mobile,57,31.05,27.15,26.19,25.38
3000205,free,IT,tv,59,16.2,13.69,12.57,14.47
3000206,free,GB,tv,51,30.24,29.46,27.23,26.45
3000207,standard,DE,mobile,56,19.94,19.07,18.91,14.21
3000208,free,IT,mobile,50,15.14,13.07,13.15,14.44
3000209,standard,IT,mobile,9,29.79,27.53,27.56,19.49
3000210,standard,GB,mobile,2,29.78,33.91,32.96,34.55
3000211,standard,US,mobile,18,62.52,58.64,57.36,53.23
3000212,free,ES,web,3,18.3,21.4,23.79,22.65
3000213,standard,GB,tv,39,4.28,5.06,5.38,1.58
3000214,standard,BR,tv,51,4.07,4.17,4.3,4.23
3000215,standard,ES,mobile,52,5.58,6.73,6.1,9.58
3000216,free,DE,mobile,6,28.34,26.54,27.93,27.03
3000217,free,FR,tv,32,72.98,64.21,73.56,72.25
3000218,premium,FR,web,32,10.36,11.89,11.7,13.33
3000219,free,US,tv,31,12.35,12.36,11.96,9.23
3000220,free,GB,mobile,54,13.7,13.42,14.17,9.07
3000221,free,BR,mobile,8,12.56,18.16,18.1,0.0
3000222,standard,AU,tv,5,20.34,19.55,20.27,15.53
3000223,premium,GB,mobile,43,9.66,9.15,8.88,11.6
3000224,free,IT,mobile,36,16.65,16.63,15.49,11.61
3000225,premium,ES,tv,30,25.26,25.54,24.52,23.15
3000226,free,DE,tv,11,22.69,20.79,19.43,15.86
3000227,standard,GB,web,7,3.89,3.76,3.95,2.79
3000228,standard,DE,web,38,4.08,3.56,3.31,7.82
3000229,free,DE,mobile,54,3.89,4.26,4.09,5.93
3000230,free,JP,tv,57,23.5,23.02,25.14,26.38
3000231,free,GB,tv,15,36.52,37.36,37.76,34.37
3000232,premium,FR,tv,35,5.3,5.16,6.14,6.83
3000233,standard,GB,mobile,32,21.83,21.11,24.48,23.29
3000234,premium,AU,mobile,57,1.94,2.61,2.42,0.0
3000235,standard,FR,mobile,50,9.44,8.19,8.33,6.86
3000236,free,CA,web,8,12.49,12.25,12.41,10.39
3000237,standard,CA,tv,40,20.28,20.99,21.1,18.74
3000238,free,GB,tv,49,7.41,6.89,7.28,0.0
3000239,free,US,tv,14,14.54,14.68,12.98,13.3
3000240,premium,FR,mobile,21,13.0,10.53,10.58,9.07
3000241,standard,FR,mobile,59,4.0,3.72,4.22,4.24
3000242,free,US,web,22,14.14,16.57,18.56,0.0
3000243,standard,BR,tv,6,15.13,15.13,15.87,14.35
3000244,standard,AU,web,58,8.93,7.97,7.31,4.37
3000245,premium,FR,mobile,48,8.62,9.32,9.65,6.44
3000246,standard,DE,tv,4,27.05,29.17,26.95,25.33
3000247,free,DE,mobile,28,7.15,7.44,6.95,8.61
3000248,free,US,tv,45,6.69,6.09,5.96,8.9
3000249,free,GB,mobile,5,4.52,4.78,4.81,0.0
3000250,standard,JP,mobile,26,74.41,68.13,65.87,62.51
3000251,premium,DE,mobile,15,19.31,25.17,25.78,27.45
3000252,free,FR,mobile,8,4.43,4.33,4.59,5.19
3000253,free,ES,web,5,10.13,10.23,11.36,1.92
3000254,free,FR,mobile,34,13.31,14.47,13.98,11.1
3000255,standard,AU,tv,13,13.37,12.86,11.97,11.91
3000256,standard,AU,web,43,7.92,8.75,8.56,4.94
3000257,free,FR,tv,53,3.85,4.87,4.89,5.35
3000258,free,GB,mobile,31,6.22,6.55,6.88,3.98
3000259,standard,BR,mobile,18,5.67,6.11,6.48,5.54
3000260,free,DE,tv,12,12.56,12.89,14.63,10.66
3000261,premium,DE,tv,37,9.38,9.26,8.98,7.35
3000262,free,CA,web,42,11.59,10.77,12.29,9.52
3000263,free,US,tv,12,7.53,6.77,6.76,11.26
3000264,premium,GB,mobile,21,10.37,11.39,11.73,13.45
3000265,free,FR,tv,15,28.38,25.28,24.73,24.86
3000266,free,US,tv,47,4.92,5.06,4.72,0.53
3000267,free,NL,mobile,21,31.49,34.58,34.87,31.12
3000268,free,IT,web,38,11.02,10.36,9.79,9.3
3000269,free,ES,mobile,56,10.93,14.25,16.79,16.32
3000270,free,FR,tv,16,2.49,2.62,2.9,2.19
3000271,free,NL,tv,13,15.17,19.3,19.36,21.28
3000272,free,US,tv,22,3.81,4.33,4.43,3.91
3000273,standard,GB,mobile,39,13.54,14.73,13.78,18.78
3000274,standard,US,mobile,23,4.49,3.9,4.36,5.34
3000275,free,GB,tv,22,29.94,28.15,26.96,24.66
3000276,free,GB,tv,51,7.0,5.81,6.56,4.42
3000277,standard,US,mobile,9,24.57,19.96,19.26,15.3
3000278,premium,DE,mobile,36,18.97,17.95,16.56,13.7
3000279,premium,DE,mobile,33,14.45,12.75,13.04,14.96
3000280,free,IT,mobile,25,9.48,8.54,9.01,5.98
3000281,free,GB,mobile,22,14.21,14.07,14.16,13.21
3000282,free,SE,tv,39,14.4,13.67,13.77,14.13
3000283,free,FR,mobile,52,7.17,8.14,8.97,5.23
3000284,standard,FR,tv,5,18.37,18.8,18.99,16.06
3000285,free,US,tv,55,47.5,47.67,46.96,43.54
3000286,free,FR,tv,1,10.89,10.03,10.57,5.83
3000287,free,GB,mobile,34,2.87,2.94,3.17,3.99
3000288,standard,US,web,24,9.04,9.97,9.98,12.14
3000289,free,FR,tv,18,16.23,16.54,17.52,19.55
3000290,premium,US,mobile,48,11.48,11.02,10.24,8.18
3000291,free,DE,web,32,5.32,4.84,4.94,5.68
3000292,premium,IT,web,13,10.71,11.44,11.77,0.0
3000293,free,DE,tv,53,12.51,12.05,11.37,8.27
3000294,premium,AU,mobile,21,5.96,6.34,7.7,8.97
3000295,premium,US,tv,40,11.81,11.31,12.23,15.26
3000296,premium,DE,mobile,9,21.1,20.1,18.37,19.62
3000297,standard,US,mobile,6,9.57,8.22,8.34,8.49
3000298,standard,BR,mobile,36,14.59,16.84,17.07,18.04
3000299,standard,US,tv,4,13.53,12.42,12.07,9.33
3000300,standard,AU,tv,56,5.1,5.25,5.37,7.54
3000301,free,IT,tv,10,2.44,2.39,2.32,0.0
3000302,standard,GB,tv,30,9.81,10.7,11.12,18.13
3000303,standard,GB,web,34,11.56,12.96,11.85,4.02
3000304,premium,US,tv,51,8.29,7.59,7.33,9.11
3000305,free,FR,tv,10,5.06,5.83,5.66,8.85
3000306,free,JP,mobile,55,3.69,4.45,4.71,0.0
3000307,standard,BR,tv,15,10.44,12.29,11.55,10.05
3000308,free,FR,tv,57,5.88,5.49,5.68,4.73
3000309,free,FR,tv,32,10.25,10.94,10.42,10.57
3000310,free,US,web,16,8.19,8.7,8.33,14.65
3000311,free,BR,web,34,2.68,3.15,3.27,5.59
3000312,free,DE,tv,45,16.41,14.34,14.54,17.22
3000313,free,ES,tv,49,6.28,7.99,8.6,7.63
3000314,free,FR,mobile,17,61.58,62.73,62.69,0.0
3000315,free,JP,mobile,26,7.37,7.66,7.63,16.2
3000316,free,FR,tv,30,22.23,30.4,33.16,37.87
3000317,standard,US,mobile,46,7.62,9.26,9.77,13.92
3000318,free,AU,tv,41,6.54,6.28,6.44,4.78
3000319,premium,IT,tv,5,4.71,4.27,5.11,5.53
3000320,premium,DE,mobile,4,4.32,4.63,5.03,5.73
3000321,free,SE,tv,32,10.47,9.99,9.26,12.9
3000322,free,FR,mobile,48,6.72,6.41,6.45,10.34
3000323,standard,FR,tv,26,6.3,6.48,6.22,8.51
3000324,premium,FR,tv,16,3.02,3.74,4.46,0.0
3000325,standard,US,tv,55,27.48,24.81,24.06,0.0
3000326,standard,IT,tv,16,4.69,4.64,4.8,6.38
3000327,standard,GB,mobile,43,8.23,7.94,7.38,5.91
3000328,standard,DE,tv,9,9.49,9.13,9.17,9.64
3000329,free,BR,mobile,41,5.79,5.42,6.32,7.13
3000330,standard,US,mobile,28,18.22,20.63,21.06,0.0
3000331,free,FR,web,54,6.41,6.27,6.0,0.12
3000332,standard,US,web,34,10.96,11.19,10.62,10.12
3000333,premium,BR,tv,15,10.57,10.11,9.58,9.35
3000334,free,DE,web,30,9.33,8.87,8.89,12.97
3000335,standard,CA,web,45,47.92,45.2,45.14,41.1
3000336,free,NL,tv,25,31.81,34.68,35.32,36.47
3000337,standard,BR,tv,52,12.75,13.87,14.53,11.3
3000338,free,BR,tv,51,16.71,15.47,14.81,17.32
3000339,premium,GB,web,59,30.02,30.18,30.57,26.52
3000340,free,JP,mobile,31,11.45,9.99,9.38,4.06
3000341,premium,GB,tv,26,10.97,10.02,10.02,11.6
3000342,standard,US,mobile,21,10.68,12.03,11.66,11.46
3000343,standard,US,web,40,10.41,11.11,11.73,9.72
3000344,standard,BR,mobile,32,14.04,12.28,11.72,0.0
3000345,standard,US,tv,12,10.37,9.95,11.19,9.09
3000346,premium,BR,tv,55,2.03,2.05,2.23,2.44
3000347,free,CA,mobile,33,14.09,13.56,13.0,11.78
3000348,standard,US,mobile,26,14.87,15.46,15.86,11.1
3000349,free,US,mobile,27,15.71,14.1,14.77,14.83
3000350,standard,FR,mobile,19,7.81,7.94,8.11,6.29
3000351,free,DE,tv,9,5.14,4.71,5.29,3.15
3000352,standard,ES,mobile,5,22.03,22.98,24.44,25.49
3000353,standard,US,tv,55,7.08,7.74,8.16,7.25
3000354,free,DE,web,45,7.76,7.63,7.84,7.73
3000355,standard,GB,tv,54,6.77,6.98,7.46,9.95
3000356,standard,US,tv,42,10.52,11.78,12.37,14.04
3000357,standard,FR,tv,57,18.78,20.01,20.89,16.54
3000358,free,US,web,54,11.97,13.07,13.48,14.32
3000359,standard,BR,web,11,12.91,14.08,14.02,13.8
3000360,premium,US,mobile,31,8.98,9.99,9.53,4.76
3000361,free,FR,mobile,2,4.6,5.31,5.62,3.88
3000362,free,DE,mobile,1,8.64,8.84,8.84,7.39
3000363,free,IT,mobile,44,17.3,16.06,15.85,12.11
3000364,standard,BR,tv,29,8.18,8.04,7.86,6.46
3000365,free,DE,tv,16,13.17,13.69,14.26,9.86
3000366,standard,GB,tv,27,26.52,23.65,22.73,24.4
3000367,standard,BR,tv,38,13.26,13.22,13.34,9.97
3000368,free,SE,mobile,49,8.55,8.02,8.33,9.58
3000369,premium,ES,tv,32,9.3,9.33,8.67,8.67
3000370,standard,IT,mobile,30,9.8,12.98,13.58,15.14
3000371,free,FR,mobile,35,7.4,7.88,7.64,9.23
3000372,free,DE,web,9,7.32,6.89,7.07,6.88
3000373,free,SE,tv,30,10.43,10.67,10.63,14.58
3000374,free,FR,tv,18,31.5,30.22,27.38,27.83
3000375,free,US,tv,1,6.5,6.12,6.31,1.5
3000376,premium,ES,mobile,41,35.48,35.08,33.16,28.45
3000377,free,JP,tv,16,17.58,17.04,17.45,9.85
3000378,free,FR,web,39,5.02,6.23,6.56,7.65
3000379,standard,SE,mobile,55,24.37,22.31,22.5,19.75
3000380,standard,US,mobile,1,10.36,9.13,8.52,7.84
3000381,premium,SE,tv,25,22.02,19.39,17.81,21.11
3000382,standard,SE,tv,17,16.38,14.33,14.2,8.2
3000383,free,BR,mobile,19,13.9,14.02,15.56,14.05
3000384,free,JP,mobile,58,8.71,8.22,8.93,7.33
3000385,premium,AU,tv,2,5.1,5.26,5.03,4.34
3000386,standard,JP,mobile,34,10.12,9.85,9.9,4.03
3000387,premium,DE,tv,22,22.55,22.16,22.91,24.26
3000388,free,DE,mobile,6,5.81,5.8,6.46,4.73
3000389,premium,FR,mobile,14,5.52,5.69,5.71,6.92
3000390,standard,US,web,10,6.65,7.58,8.3,16.15
3000391,free,ES,mobile,31,17.98,17.49,17.34,13.52
3000392,standard,FR,tv,13,6.94,6.63,6.77,0.85
3000393,standard,AU,mobile,41,8.06,8.32,7.53,6.51
3000394,free,US,mobile,11,8.13,6.68,6.3,11.71
3000395,free,FR,tv,4,37.03,36.76,35.52,34.99
3000396,premium,US,mobile,43,7.16,6.43,6.36,6.18
3000397,free,FR,tv,43,8.82,9.4,9.56,11.59
3000398,free,FR,mobile,14,5.5,6.99,6.62,6.19
3000399,free,GB,tv,2,12.87,12.85,13.04,11.95
3000400,free,US,tv,25,19.96,20.81,21.27,18.36
3000401,premium,BR,tv,41,7.36,7.71,7.32,9.14
3000402,standard,DE,tv,4,26.67,24.58,22.79,20.15
3000403,free,IT,web,10,23.68,23.75,21.62,22.83
3000404,premium,IT,mobile,35,10.51,10.83,12.22,6.87
3000405,premium,FR,tv,21,18.95,18.78,19.44,21.84
3000406,free,FR,tv,53,42.13,52.31,52.02,52.11
3000407,premium,NL,web,8,21.28,21.53,23.83,24.2
3000408,free,IT,mobile,44,4.78,4.73,4.37,2.78
3000409,premium,FR,mobile,33,3.33,3.56,3.29,1.16
3000410,standard,ES,mobile,17,10.88,10.59,10.72,12.92
3000411,standard,US,tv,47,1.3,1.92,2.22,0.0
3000412,free,FR,tv,15,15.26,13.4,12.21,11.48
3000413,premium,US,tv,34,3.88,4.1,3.73,2.77
3000414,free,BR,mobile,27,15.26,14.52,15.42,13.43
3000415,free,US,tv,54,15.49,13.92,13.79,14.78
3000416,free,GB,tv,7,10.7,10.72,11.33,11.9
3000417,standard,FR,web,2,7.04,7.54,7.65,0.0
3000418,free,FR,tv,38,5.1,4.95,5.37,1.56
3000419,premium,US,tv,22,7.08,7.92,8.61,9.19
3000420,standard,DE,tv,59,7.41,6.82,6.1,7.45
3000421,free,NL,tv,23,8.14,7.43,6.73,6.23
3000422,free,BR,mobile,28,20.23,17.12,15.5,17.56
3000423,free,FR,mobile,19,7.89,9.66,10.88,9.1
3000424,standard,FR,tv,33,9.48,9.41,9.15,12.54
3000425,standard,US,tv,25,18.03,16.86,18.05,23.76
3000426,free,NL,mobile,4,14.35,12.7,11.7,12.06
3000427,premium,DE,web,34,7.63,8.39,7.78,12.15
3000428,free,BR,tv,28,15.81,17.47,16.65,14.81
3000429,standard,US,mobile,12,4.66,5.44,5.57,7.14
3000430,premium,GB,web,27,1.13,0.97,0.95,0.0
3000431,standard,GB,tv,12,21.87,26.58,27.17,27.28
3000432,standard,ES,mobile,5,3.25,3.98,4.15,2.37
3000433,premium,DE,mobile,9,31.35,39.43,37.49,34.82
3000434,free,US,tv,47,8.09,7.72,7.91,7.81
3000435,free,DE,web,18,2.69,2.78,2.92,0.0
3000436,free,CA,mobile,29,4.57,5.84,5.71,0.0
3000437,standard,US,tv,39,30.96,26.62,24.47,0.0
3000438,standard,IT,mobile,37,29.28,26.74,28.51,28.3
3000439,standard,AU,tv,31,28.27,27.19,24.54,27.22
3000440,premium,GB,tv,18,13.51,14.81,17.11,15.41
3000441,free,DE,web,17,2.26,2.89,3.38,6.87
3000442,standard,FR,mobile,27,28.13,26.39,24.11,25.01
3000443,free,BR,tv,57,9.96,9.62,9.66,0.0
3000444,free,JP,web,23,47.03,43.98,42.07,37.29
3000445,standard,CA,tv,38,17.51,17.83,16.27,10.29
3000446,premium,US,tv,19,9.73,10.67,11.18,7.58
3000447,standard,JP,tv,16,4.44,4.74,4.51,2.59
3000448,free,US,web,38,22.51,22.42,21.47,18.04
3000449,standard,ES,tv,3,4.62,5.93,5.81,0.0
3000450,free,US,tv,18,15.89,17.61,18.21,21.97
3000451,premium,US,mobile,14,11.2,12.39,11.97,8.77
3000452,standard,ES,mobile,8,5.92,7.82,7.89,8.35
