user_id,plan,monthly_price_eur,tenure_months,signup_channel,country,payment_method,monthly_watch_hours_90d,sessions_90d,unique_titles_90d,support_tickets_90d,family_account,auto_renew_on,churned_30d
2000043,standard,9.99,13,referral,NL,paypal,9.82,17,7,0,True,True,False
2000044,premium,15.99,41,organic,FR,gift_card,5.36,13,3,0,False,True,False
2000045,premium,15.99,11,ads,GB,card,6.16,0,6,0,False,False,True
2000046,standard,9.99,2,app_store,GB,apple_pay,13.31,25,8,2,False,True,False
2000047,standard,9.99,58,organic,ES,paypal,12.47,19,9,0,False,True,False
2000048,premium,15.99,11,referral,US,card,10.38,21,10,0,False,False,False
2000049,standard,9.99,7,ads,FR,card,36.61,58,22,0,False,False,False
2000050,standard,9.99,18,ads,FR,paypal,13.03,28,5,1,True,True,False
2000051,standard,9.99,59,ads,IT,card,16.69,22,9,0,False,True,False
2000052,premium,15.99,51,ads,DE,apple_pay,5.8,6,6,1,False,False,False
2000053,standard,9.99,43,referral,ES,card,11.8,22,6,0,True,True,False
2000054,premium,15.99,12,referral,GB,card,11.31,16,10,0,False,True,True
2000055,premium,15.99,38,organic,ES,paypal,9.21,16,5,0,False,True,False
2000056,standard,9.99,50,ads,IT,paypal,51.85,88,30,0,False,True,False
2000057,standard,9.99,21,ads,US,card,11.58,19,7,0,False,False,False
2000058,standard,9.99,16,referral,IT,card,15.7,32,10,1,False,True,True
2000059,standard,9.99,52,organic,US,card,19.15,36,12,0,False,True,False
2000060,standard,9.99,8,organic,FR,card,11.93,28,3,1,False,True,False
2000061,standard,9.99,54,organic,BR,paypal,13.0,22,5,0,False,True,False
2000062,standard,9.99,29,ads,BR,card,22.26,44,14,0,False,True,False
2000063,premium,15.99,43,organic,BR,card,5.47,13,5,0,True,True,False
2000064,standard,9.99,22,ads,US,card,36.43,76,19,2,False,True,False
2000065,standard,9.99,42,app_store,BR,paypal,16.88,45,15,0,True,True,False
2000066,standard,9.99,55,organic,US,apple_pay,35.15,66,15,3,False,True,False
2000067,standard,9.99,30,ads,US,card,20.31,33,11,0,False,True,False
2000068,standard,9.99,13,organic,US,gift_card,4.19,4,0,1,False,True,True
2000069,standard,9.99,5,ads,IT,card,7.51,18,3,0,True,True,False
2000070,standard,9.99,55,organic,US,paypal,10.21,16,2,0,False,True,False
2000071,standard,9.99,59,app_store,FR,gift_card,5.06,10,5,0,True,False,False
2000072,premium,15.99,39,organic,US,gift_card,11.75,15,5,3,True,False,False
2000073,standard,9.99,1,app_store,DE,card,6.09,10,0,0,False,True,False
2000074,standard,9.99,53,organic,US,paypal,10.79,18,9,0,False,True,False
2000075,standard,9.99,30,referral,IT,card,7.49,12,0,0,False,True,False
2000076,standard,9.99,14,organic,FR,card,11.63,27,7,0,True,True,False
2000077,standard,9.99,22,organic,ES,paypal,28.49,54,11,1,False,True,True
2000078,standard,9.99,56,app_store,US,gift_card,8.08,18,6,1,False,True,False
2000079,premium,15.99,46,organic,US,apple_pay,15.13,29,7,1,False,True,False
2000080,standard,9.99,36,ads,US,card,7.33,6,4,0,False,True,False
2000081,standard,9.99,44,referral,US,card,18.71,37,10,0,False,True,False
2000082,premium,15.99,51,ads,SE,paypal,8.62,11,2,1,False,True,False
2000083,standard,9.99,38,organic,US,card,17.24,28,14,0,True,True,False
2000084,standard,9.99,19,app_store,BR,paypal,3.79,4,0,1,True,False,True
2000085,standard,9.99,5,ads,US,card,5.52,19,2,0,False,True,False
2000086,premium,15.99,8,app_store,FR,card,18.3,34,13,1,True,True,False
2000087,standard,9.99,14,referral,FR,card,29.85,55,16,0,False,True,False
2000088,standard,9.99,46,referral,US,card,24.82,52,14,0,False,True,False
2000089,standard,9.99,6,ads,NL,paypal,15.38,25,10,0,False,True,False
2000090,standard,9.99,8,organic,GB,paypal,8.66,23,7,0,False,True,False
2000091,premium,15.99,58,app_store,ES,card,5.84,8,1,1,True,True,False
2000092,standard,9.99,24,referral,DE,card,11.87,21,7,2,False,True,True
2000093,standard,9.99,8,referral,US,paypal,6.54,9,1,1,False,True,False
2000094,standard,9.99,52,app_store,ES,card,9.68,14,5,0,True,True,False
2000095,standard,9.99,58,organic,GB,paypal,17.6,31,9,0,False,True,False
2000096,standard,9.99,30,organic,FR,card,8.91,21,8,0,False,True,False
2000097,standard,9.99,7,organic,GB,paypal,9.85,28,8,1,False,True,False
2000098,standard,9.99,38,ads,ES,gift_card,11.42,11,5,0,False,True,False
2000099,premium,15.99,51,ads,US,paypal,17.46,38,10,0,False,True,False
2000100,premium,15.99,57,organic,US,gift_card,10.58,20,6,1,False,True,False
2000101,premium,15.99,34,ads,BR,card,28.81,51,21,1,False,True,True
2000102,standard,9.99,56,organic,US,apple_pay,21.79,39,13,0,False,True,False
2000103,premium,15.99,50,ads,US,card,29.13,59,15,0,False,True,False
2000104,premium,15.99,10,organic,BR,card,16.83,34,11,0,False,False,False
2000105,premium,15.99,38,organic,CA,card,36.23,62,16,1,False,True,True
2000106,standard,9.99,40,ads,US,card,14.92,31,10,0,True,True,False
2000107,standard,9.99,46,organic,US,card,18.37,32,14,0,True,True,False
2000108,standard,9.99,32,ads,FR,paypal,4.6,5,4,0,True,True,True
2000109,premium,15.99,44,organic,DE,card,16.89,24,14,0,False,True,False
2000110,standard,9.99,35,app_store,US,gift_card,19.64,31,11,0,False,True,False
2000111,standard,9.99,16,organic,NL,paypal,17.2,33,9,0,True,True,False
2000112,standard,9.99,29,organic,JP,card,22.97,39,6,1,True,True,False
2000113,standard,9.99,56,referral,FR,paypal,16.32,32,7,1,False,False,False
2000114,standard,9.99,50,organic,SE,paypal,12.36,27,8,1,True,False,False
2000115,premium,15.99,38,ads,US,card,30.96,54,17,0,False,False,False
2000116,premium,15.99,19,referral,US,paypal,6.5,10,3,0,False,True,False
2000117,premium,15.99,12,organic,SE,card,21.82,32,8,0,False,True,False
2000118,standard,9.99,17,app_store,US,card,12.95,29,8,1,False,True,False
2000119,standard,9.99,19,ads,FR,card,17.36,36,8,2,True,True,False
2000120,standard,9.99,57,referral,FR,card,9.37,16,5,0,False,True,False
2000121,standard,9.99,32,app_store,US,paypal,19.5,33,13,0,False,True,False
2000122,standard,9.99,24,app_store,SE,card,6.99,12,9,0,False,True,False
2000123,standard,9.99,53,organic,FR,card,10.24,19,2,0,False,True,False
2000124,standard,9.99,22,ads,US,card,15.67,30,13,0,False,True,False
2000125,standard,9.99,48,ads,AU,apple_pay,7.83,14,4,0,True,True,False
2000126,standard,9.99,38,ads,DE,paypal,26.47,47,18,0,False,True,False
2000127,standard,9.99,18,referral,SE,apple_pay,25.94,51,13,0,False,True,True
2000128,standard,9.99,57,organic,US,paypal,9.03,19,3,0,False,True,False
2000129,standard,9.99,41,ads,DE,card,20.92,46,13,0,False,True,False
2000130,standard,9.99,59,ads,AU,paypal,9.38,22,7,0,False,True,False
2000131,premium,15.99,1,organic,AU,card,35.69,58,18,0,True,True,False
2000132,standard,9.99,17,ads,FR,paypal,3.13,5,6,0,False,True,False
2000133,standard,9.99,20,organic,ES,card,22.38,39,15,1,False,True,True
2000134,standard,9.99,40,ads,DE,gift_card,23.24,37,14,0,True,True,False
2000135,standard,9.99,50,organic,FR,card,8.68,16,5,0,False,True,False
2000136,premium,15.99,8,referral,FR,apple_pay,17.43,35,11,1,False,False,False
2000137,standard,9.99,9,organic,DE,card,8.93,15,5,0,False,False,False
2000138,premium,15.99,40,ads,FR,card,8.76,17,11,1,True,True,False
2000139,standard,9.99,21,ads,AU,card,25.47,46,12,0,False,True,False
2000140,standard,9.99,42,ads,US,apple_pay,35.22,65,20,0,True,True,False
2000141,standard,9.99,1,ads,DE,card,7.57,8,1,0,True,True,False
2000142,premium,15.99,31,referral,IT,gift_card,26.18,55,12,1,True,True,False
2000143,standard,9.99,2,organic,DE,paypal,24.47,46,10,1,False,True,True
2000144,standard,9.99,57,ads,US,card,4.96,6,4,0,True,True,False
2000145,standard,9.99,9,ads,ES,paypal,8.79,26,0,0,False,True,False
2000146,standard,9.99,11,ads,US,card,7.17,11,0,0,False,True,False
2000147,standard,9.99,7,app_store,DE,card,14.22,23,5,0,True,True,False
2000148,standard,9.99,14,ads,AU,apple_pay,8.32,16,4,1,True,True,False
2000149,standard,9.99,29,organic,BR,card,13.46,26,9,2,False,True,False
2000150,premium,15.99,37,ads,US,card,24.32,49,12,0,False,True,False
2000151,premium,15.99,54,ads,JP,card,18.42,39,10,0,False,True,False
2000152,standard,9.99,52,organic,SE,paypal,8.79,17,9,0,True,True,False
2000153,standard,9.99,5,ads,US,card,24.33,46,14,0,True,True,False
2000154,standard,9.99,26,referral,AU,apple_pay,24.52,38,13,0,False,True,False
2000155,standard,9.99,52,referral,DE,card,25.33,54,18,0,False,False,False
2000156,standard,9.99,10,organic,AU,paypal,23.57,38,14,1,True,True,False
2000157,standard,9.99,40,referral,GB,gift_card,6.22,12,5,2,False,True,False
2000158,premium,15.99,26,organic,FR,gift_card,22.89,46,14,0,True,True,False
2000159,premium,15.99,10,organic,FR,apple_pay,10.86,17,5,0,False,True,False
2000160,standard,9.99,4,ads,DE,card,10.7,25,1,1,False,True,False
2000161,premium,15.99,18,ads,FR,card,13.35,21,11,1,False,True,False
2000162,standard,9.99,1,ads,BR,paypal,13.91,27,11,0,True,True,False
2000163,standard,9.99,12,referral,US,card,4.1,9,7,1,False,True,False
2000164,standard,9.99,33,organic,FR,apple_pay,18.39,25,8,1,False,True,False
2000165,standard,9.99,47,ads,ES,card,14.47,27,10,0,False,True,False
2000166,premium,15.99,30,organic,GB,apple_pay,15.25,25,6,1,True,False,False
2000167,premium,15.99,43,organic,FR,card,5.24,18,0,0,False,False,False
2000168,standard,9.99,5,organic,US,paypal,7.83,13,0,0,False,True,False
2000169,premium,15.99,18,referral,BR,card,10.37,18,7,1,False,False,True
2000170,standard,9.99,39,ads,FR,apple_pay,16.96,30,12,0,False,False,False
2000171,standard,9.99,4,ads,FR,apple_pay,23.03,38,18,0,False,False,False
2000172,standard,9.99,35,ads,CA,paypal,8.58,21,5,0,True,True,False
2000173,premium,15.99,10,organic,US,card,22.48,26,13,0,True,True,False
2000174,standard,9.99,25,organic,JP,paypal,8.84,19,8,0,False,True,False
2000175,standard,9.99,38,ads,DE,apple_pay,9.84,20,7,1,False,True,False
2000176,standard,9.99,59,referral,AU,apple_pay,12.16,15,7,0,True,True,False
2000177,premium,15.99,6,referral,DE,paypal,9.61,17,5,1,False,True,False
2000178,premium,15.99,33,organic,BR,card,16.56,30,12,0,False,True,False
2000179,premium,15.99,32,ads,AU,gift_card,8.52,15,4,0,False,False,True
2000180,premium,15.99,4,ads,US,card,18.39,32,6,1,False,True,False
2000181,premium,15.99,37,referral,FR,card,14.11,18,6,0,True,True,False
2000182,standard,9.99,5,organic,DE,gift_card,5.86,8,9,2,False,True,False
2000183,standard,9.99,41,organic,BR,gift_card,23.79,46,18,0,False,True,False
2000184,premium,15.99,13,app_store,GB,card,17.27,32,12,0,True,True,False
2000185,standard,9.99,8,organic,NL,card,15.52,25,17,0,True,True,False
2000186,standard,9.99,5,app_store,US,card,9.34,16,6,0,True,False,True
2000187,standard,9.99,28,ads,FR,paypal,5.01,9,5,0,True,True,False
2000188,premium,15.99,14,ads,US,card,16.86,29,10,0,False,True,False
2000189,standard,9.99,28,organic,US,gift_card,75.75,136,46,0,True,True,False
2000190,premium,15.99,53,app_store,US,card,2.5,4,1,0,False,True,False
2000191,standard,9.99,50,organic,US,gift_card,24.5,43,19,0,False,True,False
2000192,standard,9.99,45,ads,US,paypal,6.56,5,5,0,True,True,False
2000193,premium,15.99,28,organic,FR,gift_card,19.84,41,22,2,True,False,False
2000194,standard,9.99,7,organic,GB,card,6.85,15,4,0,True,True,False
2000195,standard,9.99,25,referral,IT,card,20.25,32,13,0,True,True,False
2000196,standard,9.99,2,organic,JP,gift_card,29.12,55,16,1,False,True,False
2000197,premium,15.99,8,ads,US,card,13.91,30,5,0,True,True,False
2000198,standard,9.99,18,referral,ES,card,18.43,32,10,0,False,False,False
2000199,standard,9.99,41,ads,GB,card,15.71,31,11,2,False,False,True
2000200,premium,15.99,47,ads,SE,card,8.25,13,5,1,False,True,False
2000201,premium,15.99,37,organic,IT,apple_pay,12.4,27,0,0,False,True,True
2000202,standard,9.99,16,referral,US,paypal,18.92,32,14,0,True,True,False
2000203,standard,9.99,43,organic,US,card,31.26,52,23,1,False,True,False
2000204,standard,9.99,59,ads,ES,card,9.26,10,6,0,False,True,False
2000205,standard,9.99,39,referral,BR,apple_pay,18.3,24,10,0,False,True,False
2000206,standard,9.99,45,referral,FR,card,10.74,32,0,2,False,True,False
2000207,standard,9.99,52,organic,ES,card,20.14,31,12,0,True,True,False
2000208,standard,9.99,43,organic,FR,card,21.42,40,11,0,False,True,False
2000209,standard,9.99,52,app_store,AU,card,12.45,20,2,1,False,False,False
2000210,premium,15.99,18,app_store,AU,gift_card,17.71,34,14,0,False,True,False
2000211,standard,9.99,19,ads,NL,gift_card,5.13,19,7,0,True,False,True
2000212,standard,9.99,11,organic,SE,apple_pay,19.45,34,9,1,False,True,False
2000213,premium,15.99,11,ads,AU,card,17.19,26,9,0,True,True,False
2000214,premium,15.99,33,app_store,US,gift_card,26.44,46,16,0,False,True,False
2000215,premium,15.99,55,organic,GB,paypal,4.08,9,6,0,False,True,False
2000216,standard,9.99,14,referral,FR,gift_card,12.59,25,8,0,False,True,False
2000217,standard,9.99,43,ads,DE,gift_card,6.12,9,5,0,True,True,False
2000218,premium,15.99,5,referral,FR,card,6.3,16,6,0,True,True,False
2000219,standard,9.99,58,organic,IT,card,3.66,6,3,0,False,True,False
2000220,standard,9.99,32,organic,FR,paypal,15.88,27,8,1,False,False,True
2000221,standard,9.99,30,organic,NL,gift_card,9.14,11,0,1,True,True,False
2000222,standard,9.99,22,app_store,NL,card,14.46,35,7,0,True,True,False
2000223,premium,15.99,57,ads,AU,paypal,14.64,24,9,0,False,True,False
2000224,standard,9.99,25,ads,FR,card,17.73,40,13,0,False,True,False
2000225,premium,15.99,8,app_store,BR,card,20.2,32,8,1,True,True,False
2000226,standard,9.99,34,organic,US,paypal,31.42,53,20,0,False,True,False
2000227,standard,9.99,35,app_store,US,card,12.94,24,7,0,False,True,False
2000228,standard,9.99,45,organic,BR,gift_card,10.71,17,4,0,True,False,True
2000229,standard,9.99,30,organic,FR,card,6.35,10,4,0,False,True,False
2000230,standard,9.99,17,ads,SE,card,18.57,24,11,0,True,True,False
2000231,standard,9.99,1,app_store,SE,card,7.99,9,5,1,False,True,False
2000232,premium,15.99,59,referral,GB,card,15.2,30,6,0,False,False,False
2000233,standard,9.99,12,organic,DE,card,49.17,91,29,0,False,True,True
2000234,premium,15.99,21,app_store,SE,card,4.97,4,9,0,True,False,True
2000235,premium,15.99,10,referral,IT,paypal,6.45,11,5,1,False,True,False
2000236,standard,9.99,14,referral,FR,card,14.33,19,5,0,True,True,False
2000237,premium,15.99,4,ads,DE,paypal,6.48,14,5,0,True,False,False
2000238,standard,9.99,21,organic,DE,card,29.45,59,16,1,False,True,False
2000239,standard,9.99,56,organic,NL,gift_card,7.04,5,4,0,False,True,False
2000240,premium,15.99,14,ads,SE,paypal,12.81,25,11,1,False,True,False
2000241,premium,15.99,57,organic,GB,card,17.82,24,16,0,False,True,False
2000242,standard,9.99,38,ads,FR,paypal,5.6,16,3,0,True,False,False
2000243,standard,9.99,53,ads,GB,card,13.84,36,9,0,True,False,False
2000244,standard,9.99,37,ads,DE,card,32.45,60,20,0,False,True,False
2000245,premium,15.99,59,referral,DE,card,18.61,29,15,0,False,True,False
2000246,standard,9.99,33,ads,CA,paypal,10.46,18,6,0,True,True,False
2000247,standard,9.99,50,ads,CA,card,21.03,39,11,0,False,True,False
2000248,standard,9.99,3,organic,DE,card,3.0,9,2,1,False,True,False
2000249,standard,9.99,55,organic,AU,paypal,9.25,12,6,0,True,False,False
2000250,standard,9.99,2,organic,US,apple_pay,5.03,7,3,0,False,True,False
2000251,premium,15.99,12,organic,US,card,15.56,33,15,1,True,True,False
2000252,standard,9.99,44,ads,ES,gift_card,14.05,28,5,0,False,True,False
2000253,standard,9.99,16,ads,DE,paypal,7.43,10,1,1,True,True,False
2000254,standard,9.99,3,app_store,BR,card,26.09,56,15,1,True,True,False
2000255,premium,15.99,51,organic,FR,card,3.67,5,2,0,False,False,True
2000256,premium,15.99,31,organic,DE,paypal,38.46,61,23,0,True,False,False
2000257,standard,9.99,29,referral,IT,paypal,25.61,42,22,1,False,True,True
2000258,standard,9.99,19,organic,DE,card,14.26,34,8,0,False,True,False
2000259,standard,9.99,43,ads,US,card,9.43,22,5,0,True,False,False
2000260,standard,9.99,19,referral,DE,card,11.22,23,9,0,False,True,False
2000261,premium,15.99,34,ads,GB,apple_pay,16.28,34,16,0,True,True,False
2000262,standard,9.99,8,organic,GB,card,8.69,19,0,0,True,True,False
2000263,standard,9.99,19,organic,GB,card,12.08,18,10,0,False,True,False
2000264,premium,15.99,2,app_store,DE,paypal,16.36,25,14,0,False,True,False
2000265,standard,9.99,17,app_store,US,card,19.36,32,14,0,False,True,False
2000266,standard,9.99,23,referral,FR,paypal,31.89,60,20,1,False,False,False
2000267,standard,9.99,45,organic,FR,card,34.47,65,24,0,False,True,False
2000268,standard,9.99,49,ads,GB,paypal,12.6,28,11,0,False,True,False
2000269,standard,9.99,32,referral,NL,paypal,4.78,17,0,0,False,True,False
2000270,standard,9.99,55,organic,BR,card,13.14,30,4,1,False,True,False
2000271,standard,9.99,22,app_store,GB,card,31.39,63,22,0,False,True,False
2000272,standard,9.99,30,app_store,ES,card,12.41,24,4,1,True,True,False
2000273,standard,9.99,37,organic,CA,paypal,37.61,67,23,0,True,True,False
2000274,premium,15.99,11,organic,AU,card,5.99,12,5,0,False,False,True
2000275,standard,9.99,25,organic,CA,apple_pay,17.52,28,9,0,False,True,False
2000276,standard,9.99,54,ads,FR,card,17.5,22,13,0,True,True,False
2000277,standard,9.99,29,ads,ES,card,40.91,82,15,0,False,False,False
2000278,premium,15.99,55,ads,BR,paypal,13.87,23,10,0,True,True,False
2000279,premium,15.99,40,ads,FR,paypal,17.76,32,10,0,False,True,False
2000280,standard,9.99,11,organic,US,apple_pay,20.88,38,13,0,False,True,False
2000281,standard,9.99,28,organic,FR,card,6.65,12,6,1,True,True,False
2000282,standard,9.99,22,ads,US,card,9.13,13,6,0,True,True,False
2000283,standard,9.99,57,ads,DE,apple_pay,16.6,25,11,0,True,True,False
2000284,standard,9.99,20,app_store,FR,card,15.02,17,13,0,False,False,True
2000285,standard,9.99,29,organic,DE,card,11.11,21,5,0,True,True,False
2000286,standard,9.99,41,referral,US,card,17.37,39,15,1,False,True,False
2000287,standard,9.99,57,organic,JP,card,14.88,28,10,0,False,False,False
2000288,standard,9.99,33,referral,FR,gift_card,24.96,41,13,0,False,True,False
2000289,standard,9.99,51,organic,DE,card,9.46,16,2,1,False,False,False
2000290,premium,15.99,7,organic,US,apple_pay,16.33,32,11,1,True,True,False
2000291,standard,9.99,53,ads,DE,paypal,10.46,22,6,0,True,True,False
2000292,premium,15.99,13,referral,US,apple_pay,9.58,14,7,1,True,True,False
2000293,standard,9.99,46,organic,CA,card,30.79,49,26,1,True,True,False
2000294,premium,15.99,32,organic,ES,paypal,24.95,40,14,0,False,True,False
2000295,premium,15.99,36,ads,FR,card,14.38,28,4,0,False,True,False
2000296,premium,15.99,6,ads,NL,paypal,9.42,10,5,0,False,True,False
2000297,premium,15.99,32,organic,GB,card,31.49,52,20,0,False,True,False
2000298,premium,15.99,6,organic,FR,card,43.74,78,29,0,True,True,False
2000299,standard,9.99,33,referral,DE,gift_card,5.27,18,5,0,True,True,False
2000300,premium,15.99,24,organic,FR,card,9.0,13,4,1,False,True,False
2000301,standard,9.99,12,organic,GB,card,9.41,21,6,2,False,True,True
2000302,standard,9.99,29,organic,US,card,11.59,14,5,0,False,True,False
2000303,standard,9.99,13,ads,FR,card,10.37,17,6,1,False,True,True
2000304,premium,15.99,5,app_store,ES,card,12.2,13,3,0,False,True,False
2000305,standard,9.99,3,referral,US,paypal,20.57,38,8,1,False,False,False
2000306,standard,9.99,21,referral,BR,card,10.99,16,6,0,False,True,False
2000307,standard,9.99,44,ads,JP,card,10.16,19,7,2,False,True,False
2000308,standard,9.99,35,organic,US,card,12.44,19,3,1,False,True,False
2000309,standard,9.99,8,app_store,US,card,15.67,35,10,0,True,True,False
2000310,standard,9.99,27,organic,FR,card,14.32,24,7,0,False,True,False
2000311,standard,9.99,35,referral,DE,card,16.42,28,6,0,False,True,False
2000312,standard,9.99,14,organic,NL,paypal,13.06,21,6,0,False,False,False
2000313,standard,9.99,9,ads,FR,gift_card,9.21,17,7,0,False,True,True
2000314,standard,9.99,15,app_store,FR,card,16.47,31,11,0,False,False,False
2000315,standard,9.99,4,referral,BR,card,4.89,5,1,0,False,True,True
2000316,standard,9.99,15,app_store,ES,apple_pay,19.34,34,13,0,False,True,False
2000317,premium,15.99,32,referral,US,card,24.01,45,16,1,False,True,False
2000318,standard,9.99,48,ads,FR,card,6.62,19,2,1,False,True,False
2000319,premium,15.99,52,organic,FR,paypal,24.53,49,18,0,False,True,False
2000320,premium,15.99,40,ads,FR,card,34.71,65,15,0,False,True,False
2000321,standard,9.99,22,organic,DE,card,7.64,20,0,0,True,True,False
2000322,standard,9.99,56,ads,FR,card,15.97,22,13,0,True,True,False
2000323,standard,9.99,55,organic,US,apple_pay,10.46,26,11,0,False,True,False
2000324,premium,15.99,22,app_store,SE,card,11.99,22,10,0,False,True,False
2000325,standard,9.99,1,referral,FR,paypal,9.53,14,0,0,False,True,False
2000326,premium,15.99,26,organic,BR,card,6.0,9,2,0,False,True,False
2000327,standard,9.99,28,ads,US,card,33.88,65,24,0,False,True,False
2000328,standard,9.99,40,referral,DE,card,12.93,21,0,0,True,True,False
2000329,standard,9.99,9,app_store,CA,card,14.46,26,10,1,True,False,True
2000330,premium,15.99,33,organic,GB,paypal,21.21,40,13,2,False,True,False
2000331,standard,9.99,19,ads,FR,apple_pay,18.91,38,12,0,True,True,False
2000332,premium,15.99,30,organic,BR,card,9.78,11,7,1,False,True,False
2000333,premium,15.99,2,referral,GB,card,9.96,16,6,1,False,True,False
2000334,standard,9.99,32,app_store,BR,card,11.39,24,10,0,False,False,False
2000335,standard,9.99,3,organic,FR,apple_pay,26.88,55,17,0,False,True,True
2000336,standard,9.99,51,organic,US,card,10.31,15,8,0,False,False,False
2000337,premium,15.99,43,organic,JP,card,9.27,25,1,1,False,True,False
2000338,standard,9.99,55,organic,DE,paypal,9.26,17,6,0,False,True,False
2000339,premium,15.99,39,organic,DE,paypal,13.81,18,6,1,False,True,False
2000340,standard,9.99,58,referral,ES,paypal,16.68,32,11,0,True,True,False
2000341,premium,15.99,13,ads,GB,card,77.08,137,45,0,False,True,True
2000342,premium,15.99,1,ads,BR,gift_card,6.39,8,7,1,False,True,False
2000343,standard,9.99,54,referral,US,apple_pay,6.55,4,0,1,False,True,False
2000344,premium,15.99,39,referral,JP,paypal,37.15,66,20,2,True,True,False
2000345,premium,15.99,41,organic,FR,card,3.22,8,0,0,False,True,False
2000346,premium,15.99,18,referral,DE,apple_pay,25.4,47,18,2,False,True,False
2000347,standard,9.99,20,ads,CA,card,8.4,13,5,0,True,True,False
2000348,standard,9.99,41,organic,ES,paypal,12.3,16,8,0,False,True,False
2000349,standard,9.99,25,organic,DE,card,12.25,28,9,0,False,True,False
2000350,standard,9.99,5,referral,AU,card,35.16,65,20,0,True,True,False
2000351,standard,9.99,18,organic,FR,card,10.75,2,6,1,False,True,False
2000352,standard,9.99,23,organic,DE,card,22.81,38,17,1,False,True,False
2000353,standard,9.99,50,ads,JP,card,10.01,21,9,0,False,False,False
2000354,standard,9.99,21,app_store,IT,card,8.1,21,8,0,True,False,False
2000355,standard,9.99,30,referral,US,apple_pay,8.9,21,6,2,False,True,False
2000356,premium,15.99,36,referral,CA,apple_pay,9.98,20,6,1,False,True,False
2000357,premium,15.99,8,organic,BR,card,5.73,6,5,0,False,True,True
2000358,standard,9.99,35,referral,CA,card,11.15,27,4,1,False,True,False
2000359,standard,9.99,12,ads,GB,card,31.87,62,19,0,False,True,False
2000360,premium,15.99,52,app_store,FR,apple_pay,21.86,39,11,1,False,True,False
2000361,standard,9.99,18,ads,CA,card,13.11,25,12,0,True,True,False
