ReturnID,OrderID,CustomerID,ProductID,RegionID,ReturnDate,Amount,Reason,CycleDays
74,286286,471,99,1,2022-05-10,282.65,changed mind,17
75,194185,153,9,4,2023-11-18,1218.2,changed mind,20
76,480460,532,26,1,2023-04-21,789.97,not as described,24
77,569297,331,32,7,2022-11-27,942.51,changed mind,19
78,258524,350,97,1,2022-08-15,543.02,damaged in transit,18
79,170014,538,61,7,2023-07-19,112.33,wrong size,23
80,221222,605,65,2,2023-11-01,1285.68,wrong size,9
81,686389,305,78,1,2024-07-29,295.92,not as described,25
82,874252,799,34,8,2023-03-14,59.26,not as described,21
83,262261,399,86,4,2022-06-10,863.33,not as described,6
84,388357,129,4,4,2024-04-12,134.1,wrong size,5
85,409433,6,14,6,2023-09-22,152.69,defective,26
86,424682,162,98,3,2023-12-02,1202.56,wrong size,26
87,319870,553,79,6,2022-04-08,742.5,changed mind,29
88,149743,432,22,4,2022-11-09,369.85,changed mind,3
89,572639,271,53,3,2024-02-07,529.45,damaged in transit,26
90,421632,386,7,4,2024-04-12,1096.57,damaged in transit,26
91,408031,671,81,1,2023-03-12,108.87,not as described,23
92,338326,458,91,3,2024-03-15,183.56,defective,15
93,936404,47,34,5,2024-04-21,928.23,defective,15
94,649435,40,43,2,2023-01-23,914.39,changed mind,13
95,476822,386,29,1,2024-06-17,1458.97,late delivery,1
96,284851,324,47,6,2022-10-16,568.08,not as described,15
97,821010,681,33,4,2022-08-28,106.97,wrong size,7
98,899528,467,30,2,2023-11-14,810.93,defective,6
99,129086,606,52,6,2023-09-29,961.14,wrong size,2
100,936699,469,104,7,2022-05-20,218.01,not as described,14
101,729477,277,92,1,2024-04-12,833.76,damaged in transit,2
102,189847,526,36,2,2022-07-19,304.67,damaged in transit,25
103,777840,498,114,3,2024-03-15,1268.65,late delivery,26
104,196662,577,26,6,2022-01-08,1254.39,defective,24
105,145775,152,110,1,2024-03-07,650.15,damaged in transit,9
106,203793,514,38,7,2024-02-26,1450.45,defective,5
107,513848,229,65,3,2024-02-20,1469.86,wrong size,15
108,657611,633,25,2,2023-10-27,202.58,damaged in transit,20
109,466591,639,92,7,2023-04-17,557.89,late delivery,1
110,209771,500,39,1,2023-12-07,904.48,wrong size,25
111,279251,758,105,2,2022-10-05,136.41,late delivery,13
112,867143,431,10,8,2024-02-20,580.16,defective,24
113,966360,21,61,5,2023-07-10,399.15,wrong size,3
114,778843,485,20,4,2023-04-04,1428.55,damaged in transit,13
115,193072,623,107,6,2023-05-21,623.26,wrong size,14
116,837827,81,51,6,2023-07-23,1146.38,damaged in transit,2
117,722789,84,81,5,2022-02-07,586.19,late delivery,21
118,573453,219,106,1,2022-05-20,206.4,late delivery,28
119,228914,676,65,5,2022-09-03,1296.1,not as described,16
120,997008,422,7,3,2022-04-25,10.62,late delivery,12
121,498345,782,27,7,2023-03-16,93.35,defective,19
122,139757,699,26,5,2023-10-31,552.93,damaged in transit,11
123,288971,444,110,1,2023-10-17,1033.48,changed mind,11
124,461138,544,110,8,2023-04-17,519.14,late delivery,23
125,156094,265,58,3,2024-05-05,108.81,late delivery,18
126,391542,73,107,3,2023-07-20,483.58,late delivery,8
127,521562,319,30,8,2022-03-21,375.02,changed mind,12
128,953780,474,82,7,2024-02-04,18.08,damaged in transit,25
129,177737,146,48,7,2023-07-29,806.85,wrong size,16
130,619174,178,29,6,2023-09-27,183.8,late delivery,3
131,924184,12,31,8,2023-07-20,438.37,late delivery,25
132,825571,588,51,1,2023-07-08,965.37,late delivery,22
133,932446,720,41,5,2022-04-01,1090.42,defective,8
134,253306,662,26,3,2023-07-14,402.55,changed mind,29
135,821208,304,41,4,2024-03-05,500.5,defective,28
136,980769,475,16,2,2022-10-31,377.89,late delivery,29
137,393429,769,117,2,2023-08-26,1435.76,not as described,11
138,548775,474,46,4,2022-01-31,293.87,late delivery,27
139,577756,237,13,8,2022-12-14,282.94,not as described,24
140,544304,271,70,6,2023-03-13,673.1,changed mind,26
141,360803,582,106,3,2024-09-09,292.07,wrong size,16
142,973795,358,44,4,2022-08-03,243.5,changed mind,9
143,960846,670,102,5,2022-10-04,152.86,wrong size,7
144,442658,692,74,2,2023-02-13,963.86,not as described,29
145,824762,29,89,5,2024-09-19,922.0,not as described,15
146,457772,579,36,6,2024-05-03,978.74,changed mind,27
147,815328,296,5,2,2022-02-04,1162.22,not as described,17
148,626276,416,42,5,2022-08-22,496.27,defective,16
149,523152,212,111,6,2024-04-01,1378.45,defective,3
150,215247,295,95,5,2022-02-28,1102.47,wrong size,12
151,689131,265,95,3,2024-05-05,1209.02,changed mind,17
152,388976,41,106,5,2022-10-09,1084.23,wrong size,4
153,295172,627,45,7,2024-07-06,544.1,late delivery,5
154,273887,115,39,2,2022-10-21,431.72,not as described,18
155,983688,301,112,5,2023-03-11,639.55,changed mind,8
156,192955,155,69,6,2023-10-24,154.58,changed mind,21
157,818672,129,36,3,2022-05-07,682.41,defective,14
158,879529,299,34,4,2023-07-12,74.28,wrong size,12
159,127947,736,106,8,2023-05-21,15.88,not as described,4
160,630397,756,7,3,2024-02-23,1397.93,not as described,12
161,619663,306,8,5,2024-09-23,1037.11,defective,16
162,422805,405,89,2,2023-10-27,847.15,defective,17
163,700042,789,1,8,2023-02-14,518.24,not as described,8
164,467802,188,21,5,2023-02-11,860.1,wrong size,1
165,495721,756,119,7,2023-02-22,1338.45,late delivery,28
166,488366,85,52,5,2024-03-25,982.05,not as described,28
167,820606,181,88,3,2022-11-18,907.7,not as described,27
168,669833,271,59,3,2022-06-16,695.7,late delivery,9
169,441141,30,11,6,2022-12-01,525.09,changed mind,18
170,934091,653,23,7,2022-01-23,1050.84,not as described,5
171,821852,685,92,2,2022-04-17,1471.66,not as described,27
172,939500,307,12,7,2022-04-01,642.89,damaged in transit,1
173,757450,670,72,7,2024-02-11,594.39,late delivery,14
174,452342,619,42,1,2023-12-24,647.89,damaged in transit,25
175,795646,642,45,1,2023-11-28,644.06,not as described,22
176,396335,643,115,6,2023-04-07,1486.03,defective,26
177,343835,459,73,7,2023-12-19,1063.1,wrong size,15
178,505941,89,74,4,2022-06-11,545.18,not as described,3
179,972372,739,43,6,2024-06-19,563.54,defective,1
180,611140,487,46,8,2023-05-17,651.89,not as described,5
181,445323,722,83,3,2024-07-27,64.7,changed mind,2
182,515635,768,5,2,2022-06-02,796.45,wrong size,13
183,362094,150,29,8,2023-05-13,1218.96,late delivery,2
184,692877,322,73,3,2023-11-28,994.25,damaged in transit,6
185,415381,154,75,4,2023-05-11,305.65,damaged in transit,13
186,598958,41,12,4,2023-03-23,1094.77,changed mind,22
187,432835,774,95,5,2022-06-16,1081.99,defective,20
188,388643,739,66,3,2023-01-17,401.18,damaged in transit,2
189,973211,746,29,6,2022-08-27,938.08,damaged in transit,27
190,411157,707,91,6,2022-10-29,920.31,late delivery,16
191,163468,520,119,2,2023-11-15,1261.28,late delivery,11
192,440733,418,51,4,2023-09-23,212.75,late delivery,12
193,578929,794,35,1,2023-08-31,300.31,defective,25
194,185175,442,36,2,2022-12-28,734.09,defective,14
195,375115,514,72,8,2024-08-17,75.78,defective,8
196,249456,170,6,5,2022-03-29,629.24,damaged in transit,13
197,550582,598,59,5,2022-12-09,1184.45,defective,2
198,750801,656,3,8,2022-04-29,231.58,late delivery,5
199,971631,543,5,6,2022-12-05,695.32,changed mind,10
200,450186,399,52,7,2024-08-19,1484.76,defective,7
201,876931,159,90,6,2023-01-02,763.82,damaged in transit,11
202,293084,28,107,4,2024-06-27,752.5,defective,2
203,802446,502,11,6,2023-05-11,842.6,damaged in transit,18
204,606404,547,30,3,2023-12-01,287.15,not as described,4
205,782355,619,51,8,2023-04-03,229.27,not as described,7
206,779984,761,69,2,2022-09-23,1019.26,defective,29
207,579188,398,119,8,2024-02-04,599.69,damaged in transit,1
208,331679,664,83,8,2024-08-27,441.96,late delivery,9
209,573565,574,65,2,2022-09-21,56.77,changed mind,15
210,844110,222,8,6,2024-02-18,1270.62,not as described,9
211,973592,677,10,8,2022-09-19,58.17,changed mind,10
212,934753,43,19,5,2023-12-18,1127.47,wrong size,4
213,263320,480,80,3,2024-02-29,579.16,wrong size,13
214,637654,753,40,8,2023-03-26,902.04,late delivery,22
215,194135,528,29,5,2024-01-07,379.04,late delivery,18
216,702052,750,81,1,2022-09-30,241.55,wrong size,27
217,993101,45,98,2,2022-03-21,804.75,wrong size,21
218,147318,426,53,6,2022-04-07,1046.47,damaged in transit,23
219,690914,625,106,4,2023-03-24,301.29,late delivery,13
220,950966,514,89,2,2024-06-21,660.17,damaged in transit,18
221,862465,705,86,7,2022-05-08,672.54,wrong size,17
222,453235,371,105,1,2023-04-01,331.81,wrong size,24
223,193529,547,23,2,2023-12-06,851.92,wrong size,15
224,931509,336,92,4,2022-07-22,227.44,late delivery,12
225,929189,698,115,1,2023-12-23,769.53,not as described,3
226,621079,96,120,4,2022-11-02,179.01,late delivery,25
227,981004,204,70,8,2024-03-19,733.46,wrong size,13
228,104156,78,91,8,2023-08-03,474.28,damaged in transit,24
229,654948,562,107,7,2023-07-01,683.85,late delivery,20
230,134687,187,103,3,2022-06-26,656.29,changed mind,1
231,942123,254,108,1,2023-04-09,1362.82,defective,19
232,712376,670,100,7,2024-05-06,740.0,late delivery,15
233,922084,289,46,3,2022-01-20,1229.56,late delivery,7
234,606400,117,88,6,2024-01-29,346.22,damaged in transit,8
235,174936,17,50,1,2023-05-08,534.6,wrong size,19
236,123879,182,97,6,2023-12-21,121.88,defective,3
237,402015,732,98,5,2023-10-26,636.91,damaged in transit,18
238,769113,439,113,8,2023-03-09,1006.36,late delivery,25
239,235928,796,71,1,2022-11-05,1258.87,defective,3
240,866929,173,58,4,2023-09-20,853.21,defective,1
241,315534,282,20,8,2022-05-21,963.71,changed mind,2
242,546775,131,77,4,2023-08-08,274.13,late delivery,22
243,282772,319,68,6,2022-04-05,65.44,wrong size,25
244,519181,451,62,2,2023-10-12,1189.62,changed mind,29
245,506956,647,82,6,2023-09-21,258.89,not as described,1
246,104925,295,103,3,2022-03-26,145.84,damaged in transit,14
247,611029,618,18,5,2024-01-28,1406.97,changed mind,2
248,807983,501,52,8,2023-02-20,1445.65,changed mind,11
249,942647,234,87,6,2024-02-26,928.22,changed mind,9
250,397644,730,99,4,2022-02-11,574.17,defective,18
251,892526,348,94,2,2022-06-29,1251.53,defective,27
252,890886,121,96,3,2023-05-09,315.03,damaged in transit,24
253,989543,771,103,7,2022-07-08,649.79,defective,2
254,435754,731,116,2,2022-11-26,541.96,not as described,7
255,865801,40,73,6,2023-10-23,1369.92,wrong size,8
256,608569,722,30,4,2022-05-25,1380.47,not as described,8
257,152443,758,68,3,2023-11-09,979.82,damaged in transit,11
258,343307,664,86,6,2022-04-14,175.0,not as described,18
259,704845,204,13,3,2022-06-25,728.47,not as described,22
260,244529,506,91,3,2023-08-11,375.54,wrong size,28
261,491258,431,66,5,2024-03-04,1328.52,late delivery,21
262,797416,497,113,7,2022-06-20,216.22,late delivery,9
263,234783,494,26,7,2022-10-27,90.92,changed mind,6
264,546930,512,109,6,2024-07-14,1059.6,defective,11
265,293372,412,54,6,2024-09-16,685.4,damaged in transit,24
266,582838,553,69,7,2023-08-05,1259.16,wrong size,29
267,316640,422,80,3,2023-03-24,121.2,damaged in transit,12
268,968873,14,70,3,2022-12-13,1203.6,damaged in transit,6
269,169030,29,109,4,2023-09-05,65.63,defective,1
270,967220,767,21,6,2023-08-14,51.82,not as described,3
271,812686,728,88,6,2022-10-22,697.36,late delivery,19
272,870077,469,117,2,2022-01-23,339.72,wrong size,18
273,866357,140,27,7,2022-06-01,894.64,not as described,19
274,268848,626,31,3,2024-08-16,48.47,defective,1
275,937981,115,58,8,2023-02-23,62.73,wrong size,13
276,634844,302,87,6,2023-04-28,1093.45,damaged in transit,6
277,965940,264,116,8,2023-04-13,323.15,not as described,10
278,890331,10,96,6,2024-02-22,988.06,defective,19
279,621648,646,96,5,2022-03-06,1127.38,defective,8
280,437017,408,53,2,2022-03-24,98.4,wrong size,20
281,205558,254,78,4,2022-10-03,1156.93,defective,9
282,190995,406,26,7,2023-05-02,409.95,wrong size,15
283,450738,1,56,4,2023-11-03,590.42,late delivery,14
284,829865,350,23,1,2023-05-06,139.09,defective,12
285,554808,416,4,2,2023-03-18,1259.56,wrong size,4
286,533586,272,103,5,2024-07-26,845.49,wrong size,17
287,320008,665,97,6,2022-06-11,761.95,damaged in transit,29
288,607952,200,62,8,2023-07-26,1453.15,damaged in transit,19
289,674267,111,2,8,2023-06-27,508.41,damaged in transit,22
290,983928,423,11,5,2023-04-19,1337.26,changed mind,24
291,756474,710,14,5,2024-03-18,1082.33,late delivery,2
292,646489,301,87,7,2022-09-24,1393.51,late delivery,23
293,919068,38,25,1,2024-08-11,1362.63,damaged in transit,8
294,482481,776,31,5,2022-11-28,1486.63,not as described,20
295,941453,356,104,4,2023-06-30,206.2,damaged in transit,29
296,432985,139,106,7,2023-06-05,1196.06,late delivery,26
297,215001,493,92,7,2024-04-29,1208.7,damaged in transit,13
298,475856,256,38,6,2023-03-15,970.12,not as described,25
299,215889,751,70,6,2022-10-12,425.5,not as described,18
300,206559,236,25,6,2022-01-22,1448.07,late delivery,4
301,893086,441,103,5,2022-12-30,314.59,changed mind,7
302,815274,435,11,2,2024-04-06,754.37,late delivery,28
303,299090,194,90,3,2022-01-10,787.02,changed mind,27
304,853944,400,62,6,2024-06-15,251.13,late delivery,26
305,162011,88,91,5,2023-06-27,1086.57,wrong size,12
306,355957,515,55,2,2022-05-21,142.41,not as described,10
307,735490,607,19,8,2022-10-30,1042.72,late delivery,24
308,373416,761,91,8,2023-07-09,1274.44,not as described,1
309,757452,261,76,6,2022-11-12,530.6,wrong size,27
310,886899,229,56,2,2022-04-19,1067.04,not as described,18
311,159455,440,45,8,2023-10-28,243.59,not as described,19
312,121573,555,42,2,2023-11-04,1270.46,defective,13
313,946000,794,58,4,2022-04-29,1428.53,changed mind,29
314,568411,21,32,7,2022-10-09,237.51,not as described,22
315,555826,191,34,5,2022-09-01,1040.87,damaged in transit,2
316,517307,210,34,2,2023-10-22,763.69,not as described,16
317,490250,205,2,1,2024-01-01,801.93,changed mind,25
318,721113,371,112,3,2023-12-28,1062.67,wrong size,3
319,621770,699,29,6,2024-07-27,738.22,damaged in transit,22
320,247052,25,20,6,2024-02-08,904.49,damaged in transit,8
321,663974,653,19,2,2022-11-17,354.04,damaged in transit,15
322,701496,495,119,2,2022-04-18,573.97,wrong size,26
323,202240,493,58,6,2023-09-07,1299.21,changed mind,15
324,439060,543,40,2,2024-07-05,173.75,wrong size,2
325,811455,93,49,1,2024-09-02,900.39,damaged in transit,1
326,656842,598,11,4,2022-08-19,284.59,damaged in transit,22
327,222732,199,38,5,2022-08-25,1271.34,wrong size,27
328,136085,414,30,2,2022-02-07,872.78,wrong size,9
329,623089,542,97,2,2022-05-22,610.54,late delivery,28
330,515554,484,8,2,2023-07-09,382.24,changed mind,14
331,964945,259,52,3,2023-07-01,660.9,changed mind,2
332,570025,317,95,1,2023-01-06,1436.84,changed mind,16
333,938338,382,101,1,2022-11-06,768.72,not as described,29
334,292893,34,62,3,2024-04-09,709.54,damaged in transit,8
335,502603,581,27,1,2023-04-06,1121.95,damaged in transit,28
336,225661,80,41,3,2024-03-19,574.78,changed mind,19
337,616805,367,27,5,2024-08-21,646.86,not as described,12
338,269626,524,80,1,2022-11-14,512.05,not as described,21
339,543036,65,36,5,2022-07-22,234.87,wrong size,12
340,409726,797,76,5,2024-08-10,1073.58,not as described,3
341,267156,302,79,5,2023-09-27,1310.82,changed mind,26
342,187129,13,113,6,2022-10-18,1359.33,late delivery,11
343,560846,527,45,7,2023-09-14,1322.4,not as described,17
344,952586,447,116,1,2023-05-31,683.16,damaged in transit,22
345,278873,513,49,2,2024-06-24,433.26,damaged in transit,3
346,464494,601,82,3,2022-09-13,960.51,not as described,21
347,302145,381,80,6,2024-09-18,1432.51,late delivery,11
348,828071,662,99,7,2024-07-25,1093.31,changed mind,16
349,473411,297,57,8,2022-06-30,747.32,changed mind,14
350,976974,437,96,5,2022-06-14,1036.32,damaged in transit,23
351,320650,127,43,4,2023-06-18,1161.08,wrong size,6
352,172661,496,59,4,2022-02-14,1379.71,late delivery,4
353,624267,210,60,1,2022-10-26,1147.19,not as described,12
354,686501,558,85,4,2023-03-12,655.45,defective,4
355,991666,641,75,5,2024-08-27,417.67,late delivery,8
356,884267,688,10,2,2024-09-19,754.82,wrong size,20
357,895752,744,98,7,2022-06-01,498.99,wrong size,24
358,670810,98,91,7,2024-06-10,1414.72,late delivery,21
359,423833,111,13,3,2022-04-01,766.87,defective,10
360,486123,741,116,8,2024-01-19,713.36,defective,24
361,220370,305,80,1,2024-04-25,528.81,changed mind,12
362,487968,21,11,8,2024-06-09,962.72,late delivery,6
363,427994,230,59,7,2022-08-12,784.88,defective,22
364,132308,669,101,2,2024-06-12,202.28,changed mind,15
365,284020,284,34,6,2022-04-26,1305.12,wrong size,11
366,581140,62,112,3,2023-06-03,544.93,late delivery,20
367,432408,578,51,7,2023-04-15,654.54,wrong size,22
368,994187,156,28,2,2022-11-12,316.44,defective,7
369,530674,283,43,2,2022-01-23,834.56,late delivery,4
370,962835,4,63,3,2024-02-12,1056.06,damaged in transit,15
371,694639,482,83,2,2022-12-02,1322.94,late delivery,2
372,136359,357,112,3,2023-10-24,86.9,changed mind,19
373,283100,694,24,5,2023-02-15,1460.26,changed mind,13
374,735216,268,116,6,2023-01-09,1058.69,defective,7
375,590605,164,64,5,2024-06-05,433.61,wrong size,18
376,371588,133,16,2,2022-04-05,314.67,changed mind,11
377,569875,161,112,2,2024-01-07,451.17,late delivery,12
378,912689,361,42,8,2024-01-17,1314.83,changed mind,7
379,449836,70,75,3,2023-01-15,444.17,damaged in transit,20
380,140603,322,84,1,2022-09-20,699.6,late delivery,27
381,379863,684,2,4,2022-01-06,1061.55,defective,18
382,942285,615,27,1,2024-07-25,1309.26,late delivery,7
383,785598,510,83,3,2024-08-05,991.27,late delivery,25
384,853727,715,39,7,2022-08-29,1132.13,defective,4
385,920445,625,2,3,2022-02-01,268.26,changed mind,9
386,205753,523,3,6,2022-05-03,1317.34,damaged in transit,2
387,354405,691,100,4,2022-03-09,420.82,changed mind,25
388,153841,100,19,3,2024-04-11,201.28,changed mind,2
389,104262,655,13,6,2024-06-10,1464.6,wrong size,16
390,851236,237,68,5,2022-06-03,310.44,defective,6
391,943251,587,15,3,2024-01-17,213.61,wrong size,7
392,240181,731,79,2,2022-06-29,942.77,not as described,18
393,749951,397,66,8,2023-01-03,485.11,damaged in transit,24
394,581407,71,78,2,2023-08-23,208.69,late delivery,1
395,162302,297,59,8,2023-12-21,905.67,not as described,5
396,924169,326,94,4,2024-05-24,1140.89,late delivery,9
397,884113,750,78,8,2022-02-14,1191.87,late delivery,28
398,610702,755,50,3,2022-07-16,241.71,changed mind,2
399,737098,455,2,5,2022-10-08,839.73,defective,6
400,457509,761,33,5,2022-11-07,1222.38,changed mind,12
401,813554,350,16,3,2024-09-25,250.02,damaged in transit,10
402,500514,329,2,2,2024-02-17,319.45,late delivery,2
403,990257,670,33,5,2022-11-17,13.59,not as described,16
404,156805,534,25,6,2024-08-29,791.7,defective,18
405,254934,418,10,3,2023-05-15,300.08,wrong size,6
406,971876,366,38,7,2023-05-16,1089.12,wrong size,20
407,359903,565,61,6,2023-03-10,1443.7,changed mind,2
408,379588,603,22,2,2022-05-24,321.05,damaged in transit,22
409,812147,393,33,8,2024-07-23,977.15,changed mind,8
410,270426,26,3,1,2022-01-14,325.63,late delivery,7
411,562184,82,7,6,2022-06-24,36.83,late delivery,6
412,357442,116,19,4,2022-08-18,1140.25,changed mind,26
413,278142,370,55,6,2022-10-07,656.67,damaged in transit,15
414,967934,492,80,7,2022-05-12,1420.71,wrong size,21
415,279907,644,95,6,2022-01-18,806.09,defective,6
416,184857,187,76,6,2023-11-09,244.65,not as described,2
417,706543,630,75,7,2024-08-27,680.16,late delivery,2
418,880571,533,113,6,2022-05-02,312.31,wrong size,13
419,214746,42,31,7,2022-10-24,1318.26,damaged in transit,10
420,737058,281,96,4,2023-05-22,1039.45,defective,23
421,586711,243,113,2,2024-07-16,518.45,wrong size,23
422,847016,710,69,2,2023-11-26,796.45,defective,10
423,214258,737,101,5,2024-02-06,1007.53,wrong size,13
424,978306,656,17,5,2023-08-05,1176.46,not as described,12
425,657199,423,106,1,2023-02-22,129.42,not as described,20
426,857938,395,68,2,2022-07-19,43.55,late delivery,19
427,425765,250,27,8,2024-05-14,180.53,damaged in transit,19
428,949043,619,8,6,2024-03-15,598.54,defective,2
429,663725,70,87,7,2022-01-26,705.39,late delivery,10
430,214241,217,52,2,2023-12-17,213.33,defective,29
431,930610,109,38,1,2022-03-26,622.62,damaged in transit,10
432,816208,396,47,3,2024-01-09,668.02,late delivery,6
433,370180,240,119,7,2024-04-05,172.54,not as described,6
434,591107,158,52,5,2022-05-12,1375.82,late delivery,1
435,449253,302,10,7,2023-03-10,902.73,changed mind,23
436,589145,689,34,4,2022-05-04,588.92,not as described,1
437,968835,447,18,4,2023-07-22,765.29,damaged in transit,18
438,909028,659,83,5,2024-07-16,478.15,wrong size,12
439,293985,732,97,8,2022-03-22,1282.95,damaged in transit,3
440,974622,722,101,4,2023-02-02,866.77,not as described,26
441,494150,281,76,5,2024-08-31,747.39,defective,22
442,734353,702,93,8,2022-10-28,1367.22,damaged in transit,24
443,787800,728,51,3,2022-05-13,1258.59,wrong size,28
444,534644,768,76,7,2023-05-04,1221.07,late delivery,27
445,510991,281,13,5,2023-05-24,346.16,defective,21
446,510763,183,65,8,2023-10-25,238.15,wrong size,16
447,876293,468,67,4,2022-11-10,1038.24,late delivery,21
448,447706,746,4,6,2024-08-13,708.28,not as described,14
449,351930,721,66,3,2023-06-06,1028.73,not as described,6
450,425438,457,87,6,2022-10-14,1143.33,changed mind,12
451,275394,120,45,3,2024-08-18,450.02,not as described,14
452,452355,338,66,5,2024-07-13,434.13,defective,2
453,202670,572,35,7,2023-05-15,741.34,damaged in transit,25
454,180777,449,33,4,2022-01-25,417.59,wrong size,27
455,751464,277,16,4,2023-08-20,1004.27,late delivery,13
456,169692,275,40,3,2023-07-10,1122.63,damaged in transit,15
457,611384,48,97,6,2022-05-29,713.34,wrong size,25
458,801882,231,113,5,2023-09-26,1088.46,changed mind,14
459,752032,536,77,5,2024-04-20,770.55,not as described,20
460,501465,194,75,1,2022-04-16,1072.18,damaged in transit,15
461,274268,795,74,1,2023-12-25,345.2,wrong size,8
462,937615,66,58,1,2022-05-21,1110.88,late delivery,24
463,851643,472,51,7,2024-01-19,1075.53,wrong size,6
464,650998,398,75,7,2023-02-24,407.24,late delivery,7
465,178085,667,95,1,2022-01-07,838.4,changed mind,21
466,131658,711,50,1,2024-08-24,1284.41,defective,21
467,383697,435,68,7,2022-06-15,381.79,damaged in transit,28
468,241770,505,57,5,2023-08-20,1106.61,late delivery,21
469,874320,560,35,3,2022-07-01,1431.41,changed mind,1
470,285237,417,35,5,2024-07-22,1300.7,defective,25
471,354385,148,10,2,2024-01-09,608.26,defective,13
472,978161,343,53,2,2024-03-15,914.74,changed mind,1
473,836433,194,86,3,2023-03-09,1487.74,late delivery,17
474,296833,372,83,8,2023-04-13,856.97,wrong size,5
475,445188,493,119,7,2023-09-27,181.39,not as described,13
476,564179,168,5,2,2024-02-24,77.69,changed mind,14
